subscribers;video views;uploads;Country;Category;video_views_for_the_last_30_days;highest_monthly_earnings;Pay well
24200000;2700914170;67;Mexico;Entertainment;33590000;134400;0
24200000;15724160183;469;United Arab Emirates;People;151208000;604800;1
24100000;329774870;36;United States;Education;328503000;1300000;1
24100000;10999000479;802;Argentina;Entertainment;401512000;1600000;1
24100000;12916159065;287;nan;Comedy;398765000;1600000;1
24100000;56106087508;23491;Turkey;Music;424815000;1700000;1
24100000;8425505919;252;United States;Music;63293000;253200;0
24100000;11041261296;590;United States;Entertainment;66884000;267500;0
24100000;6002166932;1252;United Kingdom;Music;5439000;21800;0
24000000;13943030228;901;Brazil;Comedy;761451000;3000000;1
24000000;5652938599;3;nan;People;3;0;0
24000000;8279004442;4009;United States;Entertainment;151697000;606800;1
23900000;4067878931;505;United States;Entertainment;58126000;232500;0
23900000;6582932625;257;United States;Entertainment;10853000;43400;0
23900000;7213499085;511;United States;Entertainment;177769000;711100;1
23800000;5663125358;70;nan;Entertainment;31633;127;0
23800000;10414479943;2425;United States;Howto;98052000;392200;0
23800000;17688774915;443;United States;Music;122914000;491700;0
23700000;2543809954;1732;United States;Games;8368000;33500;0
23700000;7451792132;0;Canada;Games;0;0;0
23700000;15510153803;1099;United Kingdom;Entertainment;32817000;131300;0
23700000;20289689389;769;United States;Animals;755054000;3000000;1
23600000;15901824841;392;nan;Music;77927000;311700;0
23600000;2135644776;226;Mexico;People;46862000;187400;0
23600000;5994002464;719;United States;Entertainment;10803000;43200;0
23600000;6766461070;552;United States;Entertainment;44542000;178200;0
23600000;7920637200;1251;United Kingdom;Film;53589000;214400;0
23500000;14777034543;6066;United Kingdom;Games;41669000;166700;0
23500000;14696994366;1044;United Kingdom;Entertainment;59629000;238500;0
23400000;9465863821;6672;India;Film;367347000;1500000;1
23400000;7926899136;1291;Brazil;Entertainment;28285000;113100;0
23300000;22471357411;3657;United States;Entertainment;124187000;496700;0
23200000;2634;1;United States;Entertainment;6589000000;0;0
23200000;15751661213;172;United States;Music;143169000;572700;0
23200000;7966720147;595;nan;Entertainment;321179000;1300000;1
23100000;12889240875;22578;India;Music;52678000;210700;0
23100000;25579831081;15462;Thailand;Music;130233000;520900;0
23100000;2551113422;4445;United States;Tech;13246000;53000;0
23100000;9299371231;456;India;Music;304021000;1200000;1
23100000;13151870846;3781;United States;Music;128448000;513800;0
23000000;31494513067;2905;Germany;Comedy;756717000;3000000;1
23000000;3378047383;5041;India;Tech;22262000;89000;0
23000000;6041264489;1598;Argentina;Entertainment;35539000;142200;0
23000000;10939966484;5718;India;Music;93183000;372700;0
22900000;5320485069;1670;India;Film;118846000;0;0
22900000;5380073627;0;United States;Games;0;0;0
22900000;16298342829;1159;Jordan;Music;169056000;676200;1
22900000;13206471140;1251;Mexico;Education;136821000;547300;0
22800000;17988347989;1841;nan;Entertainment;2033000000;8100000;1
22700000;10115316784;985;United States;Education;155215000;620900;1
22700000;11568118121;654;nan;Entertainment;96613000;386500;0
22600000;20847038152;60964;India;Entertainment;982238000;3900000;1
22600000;9223534599;495;India;Entertainment;399152000;1600000;1
22600000;14231943358;180;United States;Music;81660000;326600;0
22600000;17507060680;1189;Saudi Arabia;Entertainment;73829000;295300;0
22600000;13405849040;171;United States;Music;95253000;381000;0
22600000;27084848152;2321;United States;People;1174000000;4700000;1
22500000;2431154438;3377;India;Film;48740000;195000;0
22500000;10613701948;526;United States;Entertainment;65066000;260300;0
22500000;13835173331;3315;United States;Games;175094000;700400;1
22400000;8040036209;58;Argentina;Music;72242000;289000;0
22300000;8663830163;34;France;Music;735;3;0
22300000;24059336857;1724;United States;Games;132110000;528400;0
22200000;11136266461;999;United States;Entertainment;139333000;557300;0
22000000;9924807127;157;United States;Music;111500000;446000;0
22000000;8594440895;515;United States;Entertainment;183871000;735500;1
22000000;18347969186;6274;Japan;Entertainment;711254000;2800000;1
21900000;4454917643;301;United States;Entertainment;184946000;739800;1
